Location name,Amount spent (HUF)
Baranya County,93594
Borsod-Abaúj-Zemplén County,131612
Budapest,454553
Bács-Kiskun County,108308
Békés County,82486
Csongrád County,107729
Fejér County,125923
Győr-Moson-Sopron County,109677
Hajdú-Bihar County,88578
Heves County,82005
Jász-Nagykun-Szolnok County,89039
Komárom-Esztergom County,76596
Nógrád County,55511
Pest County,234418
Somogy County,74456
Szabolcs-Szatmár-Bereg County,109166
Tolna County,63454
Unknown,≤100
Vas County,59196
Veszprém County,84918
Zala County,66946
