Location name,Amount spent (CHF)
Aargau,1617
Appenzell Ausserrhoden,105
Appenzell Innerrhoden,≤100
Basel-City,1403
Basel-Landschaft,620
Bern,2860
Canton of Geneva,3521
Canton of Glarus,≤100
Canton of Nidwalden,≤100
Canton of Obwalden,≤100
Canton of St. Gallen,1216
Fribourg,908
Graubünden,675
Jura,174
Luzern,1140
Neuchâtel,549
Schaffhausen,317
Schwyz,310
Solothurn,740
Thurgau,678
Ticino,627
Unknown,≤100
Uri,≤100
Valais,929
Vaud,2475
Zug,371
Zürich,6678
