Location name,Amount spent (JPY)
Aichi Prefecture,38567
Akita Prefecture,3077
Aomori Prefecture,5465
Chiba Prefecture,28298
Ehime Prefecture,5882
Fukui Prefecture,3980
Fukuoka Prefecture,48000
Fukushima Prefecture,7216
Gifu Prefecture,9239
Gunma Prefecture,7962
Hiroshima Prefecture,15421
Hokkaido,27224
Hyōgo Prefecture,24994
Ibaraki Prefecture,11024
Ishikawa Prefecture,5831
Iwate Prefecture,4134
Kagawa Prefecture,5231
Kagoshima Prefecture,8517
Kanagawa Prefecture,56710
Kumamoto Prefecture,9173
Kyoto Prefecture,15942
Kōchi Prefecture,2572
Mie Prefecture,9045
Miyagi Prefecture,15587
Miyazaki Prefecture,5472
Nagano Prefecture,9286
Nagasaki Prefecture,7463
Nara Prefecture,6484
Niigata Prefecture,8324
Okayama Prefecture,8520
Okinawa Prefecture,7615
Osaka Prefecture,23921
Saga Prefecture,4957
Saitama Prefecture,30570
Shiga Prefecture,7032
Shimane Prefecture,2578
Shizuoka Prefecture,17887
Tochigi Prefecture,8396
Tokushima Prefecture,3029
Tokyo,183246
Tottori Prefecture,1931
Toyama Prefecture,4982
Unknown,742
Wakayama Prefecture,4000
Yamagata Prefecture,4613
Yamaguchi Prefecture,5343
Yamanashi Prefecture,3649
Ōita Prefecture,6613
