Location name,Amount spent (PLN)
Greater Poland Voivodeship,11046
Kuyavian-Pomeranian Voivodeship,5168
Lesser Poland Voivodeship,9697
Lower Silesian Voivodeship,9357
Lublin Voivodeship,4149
Lubusz Voivodeship,2868
Masovian Voivodeship,23294
Opole Voivodeship,2108
Podkarpackie Voivodeship,3704
Podlaskie Voivodeship,2398
Pomeranian Voivodeship,7919
Silesian Voivodeship,12337
Unknown,≤100
Warmian-Masurian Voivodeship,3324
West Pomeranian Voivodeship,5688
Łódź Voivodeship,6949
Świętokrzyskie Voivodeship,2391
