Location name,Amount spent (VEF)
Amazonas,739315
Anzoátegui,14861384
Apure,3463124
Aragua,17776758
Barinas,6521907
Bolívar (state),12909480
Capital District,51281022
Carabobo,27073838
Cojedes,2507569
Delta Amacuro,1002932
Falcón,7273027
Guárico,6022124
Lara,16524679
Miranda (state),16264925
Monagas,6565964
Mérida,8028730
Nueva Esparta,2307635
Portuguesa,7519988
Sucre,5513592
Trujillo,4766524
Táchira,18642009
Unknown,160
Vargas,8619399
Yaracuy,6159252
Zulia,37144109
