Location name,Amount spent (USD)
Alabama,8042
Alaska,3443
American Samoa,≤100
Arizona,25726
Arkansas,8027
California,85359
Colorado,12873
Connecticut,9550
Delaware,1898
Florida,56121
Georgia,23216
Guam,≤100
Hawaii,2998
Idaho,7773
Illinois,50520
Indiana,18616
Iowa,6907
Kansas,8546
Kentucky,10404
Louisiana,10265
Maine,5473
Maryland,15068
Massachusetts,12995
Michigan,48840
Minnesota,13541
Mississippi,5350
Missouri,12516
Montana,9380
Nebraska,4774
Nevada,9997
New Hampshire,3167
New Jersey,20933
New Mexico,6046
New York,58625
North Carolina,20803
North Dakota,1239
Northern Mariana Islands,≤100
Ohio,24750
Oklahoma,10779
Oregon,12954
Pennsylvania,44268
Puerto Rico,≤100
Rhode Island,1979
South Carolina,9469
South Dakota,1794
Tennessee,15697
Texas,59093
Unknown,≤100
Utah,7724
Vermont,1960
Virgin Islands (U.S.),≤100
Virginia,21215
Washington,16450
"Washington, District of Columbia",7293
West Virginia,5140
Wisconsin,27334
Wyoming,1888
