Location name,Amount spent (BRL)
Acre (state),620
Alagoas,1750
Amapá,513
Amazonas,3490
Bahia,11803
Ceará,7154
Espírito Santo,2212
Federal District,2680
Goiás,5581
Maranhão,4364
Mato Grosso,3860
Mato Grosso do Sul,2200
Minas Gerais,12986
Paraná,7238
Paraíba,2660
Pará,4958
Pernambuco,7664
Piauí,2145
Rio Grande do Norte,2441
Rio Grande do Sul,9940
Rio de Janeiro (state),17010
Rondônia,1029
Roraima,1656
Santa Catarina,5946
Sergipe,1739
São Paulo (state),43708
Tocantins,1366
Unknown,≤100
