Location name,Amount spent (COP)
Amazonas,779
Antioquia,5477378
Arauca,57237
Atlantico,1139276
Bolivar,284850
Boyaca,116468
Caldas,378890
Caqueta,23971
Casanare,19396
Cauca,205216
Cesar,53626
Choco,42813
Cordoba,139594
Cundinamarca,417944
Distrito Especial,4518210
Guainia,314
Guaviare,2116
Huila,193619
La Guajira,18349
Magdalena,248265
Meta,305522
Narino,156307
Norte de Santander,164751
Putumayo,116986
Quindio,99614
Risaralda,783961
San Andres y Providencia,2459
Santander,138157
Sucre,40921
Tolima,372538
Unknown,210
Valle del Cauca,3016203
Vaupes,120
Vichada,393
