Location name,Amount spent (HUF)
Baranya County,139175
Borsod-Abaúj-Zemplén County,180372
Budapest,683475
Bács-Kiskun County,151888
Békés County,103260
Csongrád County,157822
Fejér County,156900
Győr-Moson-Sopron County,166508
Hajdú-Bihar County,162631
Heves County,108286
Jász-Nagykun-Szolnok County,108602
Komárom-Esztergom County,94539
Nógrád County,58493
Pest County,312638
Somogy County,96807
Szabolcs-Szatmár-Bereg County,147038
Tolna County,73304
Unknown,115
Vas County,82531
Veszprém County,104301
Zala County,91924
