Location name,Amount spent (HTG)
Artibonite Department,141
Centre Department,≤100
Nord Department,145
Nord-Est Department,146
Nord-Ouest Department,≤100
Ouest Department,447
Sud Department,≤100
Sud-Est Department,≤100
