Location name,Amount spent (NOK)
Akershus,4177
Aust-Agder,635
Buskerud,1479
Finnmark,451
Hedmark,992
Hordaland,4025
Møre og Romsdal,2044
Nord-Trøndelag,719
Nordland,1369
Oppland,957
Oslo,5488
Rogaland,3149
Sogn og Fjordane,612
Svalbard and Jan Mayen,≤100
Sør-Trøndelag,1881
Telemark,1444
Troms,1064
Unknown,≤100
Vest-Agder,1442
Vestfold,2191
Østfold,2088
