Location name,Amount spent (EGP)
Al Sharqia Governorate,1861
Alexandria Governorate,1080
Aswan Governorate,187
Asyut Governorate,428
Beheira Governorate,651
Beni Suef Governorate,266
Cairo Governorate,3810
Dakahlia Governorate,1053
Damietta Governorate,316
Faiyum Governorate,274
Gharbia Governorate,794
Giza Governorate,1387
Ismailia Governorate,259
Kafr el-Sheikh Governorate,564
Luxor Governorate,113
Matrouh Governorate,≤100
Minya Governorate,475
Monufia Governorate,1144
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,194
Qalyubia Governorate,995
Qena Governorate,327
Red Sea Governorate,104
Sohag Governorate,498
South Sinai Governorate,≤100
Suez Governorate,140
Unknown,≤100
