Location name,Amount spent (HUF)
Baranya County,200277
Borsod-Abaúj-Zemplén County,318283
Budapest,1293891
Bács-Kiskun County,263420
Békés County,183329
Csongrád County,229666
Fejér County,214710
Győr-Moson-Sopron County,245789
Hajdú-Bihar County,288112
Heves County,156497
Jász-Nagykun-Szolnok County,196003
Komárom-Esztergom County,162828
Nógrád County,89998
Pest County,614431
Somogy County,142906
Szabolcs-Szatmár-Bereg County,259911
Tolna County,115900
Unknown,128
Vas County,126626
Veszprém County,166748
Zala County,135471
