Location name,Amount spent (SEK)
Blekinge County,3378
Dalarna County,7153
Gotland County,1577
Gävleborg County,6988
Halland County,6623
Jämtland County,3599
Jönköping County,7755
Kalmar County,5327
Kronoberg County,4280
Norrbotten County,5811
Skåne County,32017
Stockholm County,63360
Södermanland County,6937
Unknown,≤100
Uppsala County,9667
Värmland County,6270
Västerbotten County,7244
Västernorrland County,5830
Västmanland County,6177
Västra Götaland County,39854
Örebro County,6923
Östergötland County,9904
