Location name,Amount spent (CZK)
Central Bohemian Region,6909
Hradec Králové Region,2868
Karlovy Vary Region,1786
Liberec Region,2197
Moravian-Silesian Region,6068
Olomouc Region,4605
Pardubice Region,3290
Plzeň Region,3028
Prague,14105
South Bohemian Region,3415
South Moravian Region,7063
Unknown,≤100
Vysočina Region,2451
Zlín Region,3197
Ústí nad Labem Region,4608
