Page ID,Page name,Disclaimer,Amount spent (ILS),Number of ads in Library
107217383988190,מגזין אפוק,Epoch Magazine,6112,81
103428925850338,אבי סלמה - נתניה,אבי סלמה - נתניה,2748,4
500238833397356,ציפי ברנד,ציפי ברנד,2568,32
124191360932729,התעוררות בירושלים,התעוררות בירושלים,2192,24
103851839280828,חופשי בארצנו - מטה המאבק,מטה המאבק - נלחמים על הדמוקרטיה,2079,34
111523625527552,התנועה לאיכות השלטון,התנועה לאיכות השלטון,2015,15
1662907067255622,איגוד הגז הטבעי,Unik,1495,4
106729829160918,גייל שורש לראשות העיר רמת השרון,free ramat hasharon,1345,12
114201461733889,"מיכאל וידל- ראש עיריית רמלה, העמוד הפוליטי",ראש העיר מיכאל וידל,1331,5
1073548259341247,לובי 99,לובי 99,1102,3
428948830813584,"מגדילים - האתר הישראלי להתחדשות עירונית ונדל""ן","מגדילים - האתר הישראלי להתחדשות עירונית ונדל""ן",1060,25
124395890927240,הקרן החדשה לישראל,הקרן החדשה לישראל,1010,15
108714485611920,רמי גרינברג ראש עיריית פתח תקווה - סיעת התחדשות למועצת העיר,רמי גרינברג ראש עיריית פתח תקווה - סיעת התחדשות למועצת העיר,977,5
107836625941364,Yair Lapid - יאיר לפיד,מפלגת יש עתיד,970,4
113842953300993,מצלמת אבטחה ונסיעה לרכב Proof,These ads ran without a disclaimer,958,1
153664638161877,מתן דיל- Matan Dil,מתן דיל- Matan Dil,941,3
109242871232111,מתן בארי,מתן בארי,940,2
199381213757428,שי קינן - shai keinan,שי קינן - shai keinan,902,4
204780362875106,מקור ראשון,מקור ראשון,805,65
106057988971053,אלי כהן - Eli Cohen,אלי כהן - Eli Cohen,794,3
103563939372367,ברק סרי - Barak Seri,ברק סרי - Barak Seri,777,5
138399090105076,הבנק החברתי למזון תינוקות,הבנק החברתי למזון תינוקות,775,2
163213311020271,רונן סלטון לראשות המועצה,רונן סלטון לראשות המועצה,736,9
115456451553737,יונה יהב,יונה יהב,706,7
104040559429062,טליה לנקרי לראשות מועצת גדרה,טליה לנקרי לראשות גדרה,689,2
104222621115858,הביטחוניסטים,הביטחוניסטים,685,9
615531405455497,הדר לביא,הדר לביא,682,30
44385426513,Greenpeace Israel   - גרינפיס ישראל,Greenpeace Israel   - גרינפיס ישראל,677,15
132107110817900,"מרכז הנדל""ן","מרכז הנדל""ן",669,10
112848572066805,מחאת ההייטק,מחאת ההייטק,650,19
146122195591636,שלומי לחיאני - בת ים בראש מורם,שלומי לחיאני - בת ים בראש מורם,646,34
662721113760589,TheMarker Labels,TheMarker Labels,645,3
249479152534875,Kfir Swisa - כפיר סויסה,Kfir Swisa - כפיר סויסה,621,3
108787681841168,רישיון נשק בקליק,רישיון נשק בקליק,591,2
1824323844461002,יקיר שינדלר,יקיר שינדלר,548,3
380816475304653,Yuval zellner - יובל צלנר,Yuval zellner - יובל צלנר,543,3
107124799990825,חן שרייבר-נשיא לשכת רואי החשבון בישראל,חן שרייבר,543,6
1694881230559425,אבירם דהרי,אבירם דהרי,540,10
141721971504,Histadrut - ההסתדרות החדשה,Histadrut - ההסתדרות החדשה,523,2
369655989728696,אסף דעבול - Asaf Daabul,אסף דעבול - Asaf Daabul,484,6
2275137472764041,התאחדות הקבלנים בוני הארץ,התאחדות הקבלנים בוני הארץ,476,1
