Location name,Amount spent (PLN)
Greater Poland Voivodeship,2913
Kuyavian-Pomeranian Voivodeship,1521
Lesser Poland Voivodeship,3339
Lower Silesian Voivodeship,2348
Lublin Voivodeship,1446
Lubusz Voivodeship,624
Masovian Voivodeship,6087
Opole Voivodeship,497
Podkarpackie Voivodeship,1155
Podlaskie Voivodeship,661
Pomeranian Voivodeship,1873
Silesian Voivodeship,2822
Unknown,≤100
Warmian-Masurian Voivodeship,813
West Pomeranian Voivodeship,1286
Łódź Voivodeship,1998
Świętokrzyskie Voivodeship,711
