Location name,Amount spent (EUR)
Alsace,1363
Aquitaine,2709
Auvergne,855
Basse-Normandie,981
Bourgogne,1058
Bretagne,2084
Centre,1789
Champagne-Ardenne,936
Corse,369
Franche-Comté,712
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,1300
Languedoc-Roussillon,2512
Limousin,469
Lorraine,1992
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,2121
New Caledonia,≤100
Nord-Pas-de-Calais,3088
Pays de la Loire,2214
Picardie,1398
Poitou-Charentes,1275
Provence-Alpes-Côte d'Azur,5427
Reunion Island,≤100
Rhône-Alpes,4480
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,9489
