Location name,Amount spent (MYR)
Johor,701
Kedah,573
Kelantan,349
Kuala Lumpur,905
Labuan,≤100
Malacca,260
Negeri Sembilan,579
Pahang,344
Penang,410
Perak,516
Perlis,≤100
Putrajaya,≤100
Sabah,493
Sarawak,416
Selangor,2337
Terengganu,439
Unknown,≤100
