Location name,Amount spent (EUR)
Alsace,803
Aquitaine,1514
Auvergne,452
Basse-Normandie,512
Bourgogne,636
Bretagne,1245
Centre,930
Champagne-Ardenne,445
Corse,179
Franche-Comté,380
French Guiana,≤100
French Polynesia,133
Guadeloupe,≤100
Haute-Normandie,724
Languedoc-Roussillon,1389
Limousin,258
Lorraine,848
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1404
New Caledonia,129
Nord-Pas-de-Calais,1352
Pays de la Loire,1373
Picardie,633
Poitou-Charentes,681
Provence-Alpes-Côte d'Azur,2675
Reunion Island,≤100
Rhône-Alpes,3003
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,8601
