Location name,Amount spent (MYR)
Johor,1654
Kedah,1574
Kelantan,585
Kuala Lumpur,2581
Labuan,≤100
Malacca,307
Negeri Sembilan,740
Pahang,417
Penang,1131
Perak,1299
Perlis,146
Putrajaya,≤100
Sabah,487
Sarawak,577
Selangor,6961
Terengganu,993
Unknown,≤100
