Location name,Amount spent (PLN)
Greater Poland Voivodeship,4575
Kuyavian-Pomeranian Voivodeship,2822
Lesser Poland Voivodeship,4498
Lower Silesian Voivodeship,3696
Lublin Voivodeship,2161
Lubusz Voivodeship,1073
Masovian Voivodeship,7977
Opole Voivodeship,2118
Podkarpackie Voivodeship,1906
Podlaskie Voivodeship,1291
Pomeranian Voivodeship,3111
Silesian Voivodeship,6781
Unknown,≤100
Warmian-Masurian Voivodeship,1375
West Pomeranian Voivodeship,2042
Łódź Voivodeship,3064
Świętokrzyskie Voivodeship,1179
