Location name,Amount spent (PKR)
Azad Kashmir,1725
Balochistan,2069
Federally Administered Tribal Areas,311
Gilgit-Baltistan,813
Islamabad Capital Territory,3280
Khyber Pakhtunkhwa,10853
Punjab,35340
Sindh,18209
Unknown,≤100
