Location name,Amount spent (VND)
An Giang Province,57086
Bà Rịa–Vũng Tàu Province,89715
Bình Dương Province,115780
Bình Phước Province,87665
Bình Thuận Province,143616
Bình Định Province,207874
Bạc Liêu Province,36453
Bắc Giang Province,244094
Bắc Kạn Province,46079
Bắc Ninh Province,195361
Bến Tre Province,49521
Cao Bằng Province,45213
Cà Mau Province,58871
Cần Thơ,40802
Da Nang,220849
Gia Lai Province,125175
Haiphong,186762
Ho Chi Minh City,535536
Hà Giang Province,62860
Hà Nam Province,83155
Hà Tĩnh Province,199801
Hòa Bình Province,104811
Hưng Yên Province,105097
Hải Dương Province,264592
Hậu Giang Province,22193
Khánh Hòa Province,77341
Kiên Giang Province,90034
Kon Tum Province,44044
Lai Châu Province,16927
Long An Province,45404
Lào Cai Province,60559
Lâm Đồng Province,114712
Lạng Sơn Province,151332
Nam Định Province,137667
Nghệ An Province,365649
Ninh Bình Province,89210
Ninh Thuận Province,30984
Phú Thọ Province,393309
Phú Yên Province,68071
Quảng Bình Province,120659
Quảng Nam Province,208911
Quảng Ngãi Province,134776
Quảng Ninh Province,144246
Quảng Trị Province,74591
Sóc Trăng Province,44808
Sơn La Province,122014
Thanh Hóa Province,1243139
Thái Bình Province,200180
Thái Nguyên Province,174641
Thừa Thiên–Huế Province,278811
Tiền Giang Province,50957
Trà Vinh Province,37083
Tuyên Quang Province,366392
Tây Ninh Province,78769
Unknown,≤100
Vĩnh Long Province,29087
Vĩnh Phúc Province,145718
Yên Bái Province,138572
Điện Biên Province,63280
Đắk Lắk Province,188147
Đắk Nông Province,88684
Đồng Nai Province,156575
Đồng Tháp Province,48439
