Location name,Amount spent (NOK)
Akershus,2442
Aust-Agder,398
Buskerud,977
Finnmark,354
Hedmark,1032
Hordaland,1993
Møre og Romsdal,1599
Nord-Trøndelag,491
Nordland,1046
Oppland,735
Oslo,4930
Rogaland,1893
Sogn og Fjordane,419
Svalbard and Jan Mayen,≤100
Sør-Trøndelag,1267
Telemark,584
Troms,791
Unknown,≤100
Vest-Agder,978
Vestfold,1018
Østfold,1185
