Location name,Amount spent (SEK)
Blekinge County,4324
Dalarna County,9463
Gotland County,2164
Gävleborg County,8657
Halland County,9052
Jämtland County,4535
Jönköping County,10574
Kalmar County,6934
Kronoberg County,6476
Norrbotten County,8191
Skåne County,39336
Stockholm County,74584
Södermanland County,8887
Unknown,≤100
Uppsala County,13404
Värmland County,8231
Västerbotten County,8848
Västernorrland County,6970
Västmanland County,8192
Västra Götaland County,52459
Örebro County,9020
Östergötland County,13437
