Location name,Amount spent (THB)
Amnat Charoen,116
Ang Thong,≤100
Ayutthaya,461
Bangkok,14827
Bueng Kan,106
Buriram,381
Chachoengsao,171
Chai Nat,442
Chaiyaphum,246
Chanthaburi,576
Chiang Mai,881
Chiang Rai,295
Chon Buri,486
Chumphon,263
Kalasin,287
Kamphaeng Phet,467
Kanchanaburi,274
Khon Kaen,458
Krabi,331
Lampang,215
Lamphun,126
Loei,166
Lop Buri,140
Mae Hong Son,194
Maha Sarakham,293
Mukdahan,114
Nakhon Nayok,463
Nakhon Pathom,465
Nakhon Phanom,249
Nakhon Ratchasima,710
Nakhon Sawan,278
Nakhon Si Thammarat,2341
Nan,104
Narathiwat,193
Nong Bua Lam Phu,150
Nong Khai,171
Nonthaburi,659
Pathum Thani,731
Pattani,383
Phangnga,217
Phatthalung,413
Phayao,421
Phetchabun,174
Phetchaburi,910
Phichit,186
Phitsanulok,1661
Phrae,112
Phuket,1585
Prachin Buri,184
Prachuap Khiri Khan,283
Ranong,≤100
Ratchaburi,287
Rayong,253
Roi Et,401
Sa Kaeo,108
Sakon Nakhon,252
Samut Prakan,973
Samut Sakhon,399
Samut Songkhram,342
Saraburi,232
Satun,227
Sing Buri,≤100
Sisaket,349
Songkhla,1962
Sukhothai,159
Suphan Buri,239
Surat Thani,6003
Surin,341
Tak,291
Trang,257
Trat,≤100
Ubon Ratchathani,591
Udon Thani,418
Unknown,≤100
Uthai Thani,150
Uttaradit,110
Yala Province,198
Yasothon,381
