Location name,Amount spent (GTQ)
Alta Verapaz Department,1187
Baja Verapaz Department,417
Chimaltenango Department,1363
Chiquimula Department,777
El Progreso Department,383
Escuintla Department,1946
Guatemala Department,28417
Huehuetenango Department,3562
Izabal Department,1932
Jalapa Department,1108
Jutiapa Department,1378
Petén Department,813
Quetzaltenango Department,2947
Quiché Department,2193
Retalhuleu Department,677
Sacatepéquez Department,1428
San Marcos Department,4306
Santa Rosa Department,1278
Sololá Department,835
Suchitepéquez Department,966
Totonicapán Department,735
Unknown,≤100
Zacapa Department,933
