Page ID,Page name,Disclaimer,Amount spent (VEF),Number of ads in Library
100112745687674,Creemos Alianza Ciudadana,an advertiser in Venezuela,37750000,9
155439457852149,Henrique Capriles Radonski,an advertiser in Venezuela,30452388,6
564188034075673,Roberto Enriquez,an advertiser in Venezuela,13699950,1
37896015468,"Embajada de los EE.UU., Venezuela",an advertiser in Venezuela,4000000,2
596206767151427,Julio Borges,an advertiser in Venezuela,1512494,1
101560096065606,Camino Yagé,These ads ran without a disclaimer,1250000,1
854258371335256,Diario del Pueblo,an advertiser in Venezuela,750000,1
100633682939979,Artemis Stetica & Spa,an advertiser in Venezuela,750000,1
101375582509907,Juan Barahona,These ads ran without a disclaimer,250000,1
152914224736727,Banco Mundial,These ads ran without a disclaimer,27500,2
273901553101187,김영근,These ads ran without a disclaimer,20553,1
104614299337071,Earth Savers,These ads ran without a disclaimer,1450,1
111679394767549,المشروع القومي لمشتقات البلازما,These ads ran without a disclaimer,566,1
9179830029,Queen Mary University of London,These ads ran without a disclaimer,≤100,1
112757083778788,"Economic Daily, China",These ads ran without a disclaimer,≤100,1
112957186910938,Brain Games,These ads ran without a disclaimer,≤100,1
250305668489402,Professor Kenny,These ads ran without a disclaimer,≤100,1
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,1
227337655573,Radio Pulpit / Radiokansel,These ads ran without a disclaimer,≤100,1
134762503224216,ABBRobotics,These ads ran without a disclaimer,≤100,1
1661980207382407,Princess Pat Akpabio,These ads ran without a disclaimer,≤100,1
226495524759910,Quimicando Com o Prof. Rudimar,These ads ran without a disclaimer,≤100,2
102998939765184,Persian bms,These ads ran without a disclaimer,≤100,1
