Location name,Amount spent (USD)
Arima,≤100
Chaguanas,120
Couva-Tabaquite-Talparo Regional Corporation,178
Diego Martin Regional Corporation,≤100
Penal-Debe Regional Corporation,≤100
Point Fortin,≤100
Port of Spain,125
Princes Town Regional Corporation,≤100
Rio Claro-Mayaro Regional Corporation,≤100
San Fernando,110
San Juan-Laventille Regional Corporation,105
Sangre Grande Regional Corporation,≤100
Siparia Regional Corporation,≤100
Tobago,≤100
Tunapuna-Piarco Regional Corporation,110
Unknown,≤100
