Location name,Amount spent (THB)
Amnat Charoen,487
Ang Thong,575
Ayutthaya,2285
Bangkok,91073
Bueng Kan,442
Buriram,1398
Chachoengsao,2636
Chai Nat,1404
Chaiyaphum,1254
Chanthaburi,5156
Chiang Mai,7174
Chiang Rai,2693
Chon Buri,20745
Chumphon,2013
Kalasin,1080
Kamphaeng Phet,1450
Kanchanaburi,2103
Khon Kaen,4725
Krabi,1040
Lampang,1319
Lamphun,906
Loei,680
Lop Buri,1093
Mae Hong Son,265
Maha Sarakham,1102
Mukdahan,565
Nakhon Nayok,367
Nakhon Pathom,5049
Nakhon Phanom,2893
Nakhon Ratchasima,5928
Nakhon Sawan,2335
Nakhon Si Thammarat,6001
Nan,1043
Narathiwat,854
Nong Bua Lam Phu,438
Nong Khai,576
Nonthaburi,5797
Pathum Thani,6426
Pattani,1092
Phangnga,729
Phatthalung,1322
Phayao,591
Phetchabun,919
Phetchaburi,1077
Phichit,1056
Phitsanulok,4991
Phrae,540
Phuket,5829
Prachin Buri,949
Prachuap Khiri Khan,1131
Ranong,553
Ratchaburi,3016
Rayong,5041
Roi Et,1284
Sa Kaeo,628
Sakon Nakhon,1594
Samut Prakan,6174
Samut Sakhon,3562
Samut Songkhram,2177
Saraburi,1591
Satun,582
Sing Buri,387
Sisaket,1232
Songkhla,7709
Sukhothai,1063
Suphan Buri,1644
Surat Thani,26897
Surin,1353
Tak,569
Trang,2257
Trat,2616
Ubon Ratchathani,2409
Udon Thani,2038
Unknown,≤100
Uthai Thani,484
Uttaradit,545
Yala Province,883
Yasothon,1376
