Page ID,Page name,Disclaimer,Amount spent (VND),Number of ads in Library
108510284767191,Lương Y: Phạm Văn Thanh - Việc Tử Tế VTV1,These ads ran without a disclaimer,2470614,2
105473397490741,Phạm Thị Nga,These ads ran without a disclaimer,2327840,27
110191145479586,Học Lập Trình Online Cùng MindX,These ads ran without a disclaimer,1981640,1
110961992051943,Ebook Tài Liệu,These ads ran without a disclaimer,934554,5
118828961151139,Trung Tâm Nhân Giống F1,These ads ran without a disclaimer,830489,1
114203975049983,Lương Y Phạm Văn Thanh-0795026778,These ads ran without a disclaimer,773249,2
106476091689860,Bartra Wealth Advisors,Bartra Wealth Advisors,676063,8
103216305974903,Thẩm Mỹ Như Ý - Tây Ninh,These ads ran without a disclaimer,603417,2
106034145583339,Lương Y Phạm Văn Thanh - Người Thầy Y Đức,These ads ran without a disclaimer,498730,2
110573918793620,Quỹ Đầu Tư Xanh,These ads ran without a disclaimer,488073,1
104277982758362,Phát Triển Kinh Tế Mới,These ads ran without a disclaimer,458929,1
105845511087981,TRUYỀN HÌNH AN VIÊN,Truyền hình Bchannel - BTV9 An Viên,450163,27
107976099057159,,These ads ran without a disclaimer,415822,2
192195994956428,Tài Liệu Thi Viên Chức Giáo Viên,Tài Liệu Thi Viên Chức Giáo Viên,292643,6
112977278547511,Phát triển tài chính kinh tế mới 2023,These ads ran without a disclaimer,284053,1
105062615490802,Thượng Tọa Thích Đức Thiện,Thượng Tọa Thích Đức Thiện,230111,6
919479674872321,Báo Nghệ An,Báo Nghệ An,228678,2
143009891251546,,These ads ran without a disclaimer,199110,1
101914358044085,Tài Liệu Ôn Thi Viên Chức Giáo Dục,Tài Liệu Ôn Thi Viên Chức Giáo Dục,161295,3
104485185758398,Đặc Trị Tiểu Đường Cùng Lương Y Phạm Văn Thanh,These ads ran without a disclaimer,157019,1
107497901963061,Sách Hay Chọn Lọc,These ads ran without a disclaimer,150287,1
321078761425703,SON HA GROUP,These ads ran without a disclaimer,141268,1
106864984981716,Tài liệu ôn thi viên chức giáo viên TP. HCM,Tài liệu ôn thi viên chức giáo viên TP. HCM,112155,3
654396084640049,IMM GROUP,IMM Group,112081,2
1831330046916094,Tuyển Dụng Giáo Viên Hà Nội,Tuyển Dụng Giáo Viên Hà Nội,103532,3
100642569492416,Ng.Thị Thu Thảo,These ads ran without a disclaimer,96788,1
101053199652371,,These ads ran without a disclaimer,94755,1
101497907241531,Nam Anh Scholarships,These ads ran without a disclaimer,83972,1
165600847322369,Tài Liệu Thi Viên Chức Giáo Dục Bình Định-Phú Yên,Tài Liệu Thi Viên Chức Giáo Dục Bình Định-Phú Yên,64806,2
1727496090862110,Tuyển giáo viên TP HCM,Tuyển giáo viên TP HCM,49729,1
103249298951475,CỘNG ĐỒNG BẤT ĐỘNG SẢN MIỀN NAM,These ads ran without a disclaimer,37790,1
2385813261741913,"Đại Học Luật - tuyển sinh VB1, Vb2, Tại chức",These ads ran without a disclaimer,35893,1
103031616060258,Vườn ươm Hạt giống - Học Viện Nông Nghiệp Việt Nam,These ads ran without a disclaimer,10438,1
130467394263248,Dyness,These ads ran without a disclaimer,3790,1
450326391674911,Allianz,These ads ran without a disclaimer,≤100,1
176104589110851,IEEE,These ads ran without a disclaimer,≤100,1
1096538887134446,Reuters Plus,These ads ran without a disclaimer,≤100,1
141363092729703,DP World,These ads ran without a disclaimer,≤100,1
109226351931340,Jimena Gonzalez,These ads ran without a disclaimer,≤100,1
