Location name,Amount spent (NOK)
Akershus,2339
Aust-Agder,395
Buskerud,1060
Finnmark,312
Hedmark,719
Hordaland,2302
Møre og Romsdal,1017
Nord-Trøndelag,458
Nordland,1003
Oppland,707
Oslo,4859
Rogaland,1918
Sogn og Fjordane,389
Sør-Trøndelag,1330
Telemark,571
Troms,752
Unknown,≤100
Vest-Agder,876
Vestfold,899
Østfold,1107
