Location name,Amount spent (SEK)
Blekinge County,3705
Dalarna County,7652
Gotland County,1744
Gävleborg County,8058
Halland County,7788
Jämtland County,3634
Jönköping County,8969
Kalmar County,5668
Kronoberg County,4545
Norrbotten County,6689
Skåne County,37157
Stockholm County,71884
Södermanland County,7936
Unknown,≤100
Uppsala County,10830
Värmland County,8851
Västerbotten County,7368
Västernorrland County,6164
Västmanland County,7788
Västra Götaland County,54194
Örebro County,9184
Östergötland County,13848
