Location name,Amount spent (DKK)
Capital Region of Denmark,42423
Central Denmark Region,17950
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,8547
Region of Southern Denmark,16738
Unknown,≤100
Zealand Region,10650
