Page ID,Page name,Disclaimer,Amount spent (ISK),Number of ads in Library
74969168478,Sjálfstæðisflokkurinn í Hafnarfirði,Sjálfstæðisflokkurinn í Hafnarfirði,6102,2
314036327204,VR,VR,5474,8
737169626371453,Stundin,Stundin,3099,1
154893001218870,ADHD samtökin,ADHD samtökin,2462,6
584934658344027,Áslaug Arna Sigurbjörnsdóttir,Áslaug Arna Sigurbjörnsdóttir,2374,2
105986171646268,Diljá Mist,Diljá Einarsdóttir,2038,1
106044921522841,Lilja Rannveig,Lilja Rannveig Sigurgeirsdóttir,1777,1
276600879474149,Icelandic Wildlife Fund,The Icelandic Wildlife Fund,1530,2
430089884101936,Þingflokkur Pírata,Þingflokkur Pírata,1484,1
162409941250265,Sanna Reykjavík,Sósíalistaflokkur Íslands,1456,2
106979180938014,Samstöðin,Samstöðin ehf,1326,2
148872571795434,Viðskiptaráð Íslands,Viðskiptaráð Íslands,1249,1
202456013104343,Sjálfstæðisflokkurinn í Reykjanesbæ,Sjálfstæðisflokkurinn í Reykjanesbæ,1098,1
184042545536602,Garðabæjarlistinn,Garðabæjarlistinn,862,1
192789944066997,Samtök ferðaþjónustunnar,Samtök ferðaþjónustunnar,503,8
829208673777443,Regan Hillyer,These ads ran without a disclaimer,≤100,1
347265340270,Architecture Competitions,These ads ran without a disclaimer,≤100,1
114568088198323,TS Project,These ads ran without a disclaimer,≤100,1
