Location name,Amount spent (SEK)
Blekinge County,4726
Dalarna County,9991
Gotland County,2078
Gävleborg County,10104
Halland County,10227
Jämtland County,4939
Jönköping County,11994
Kalmar County,8191
Kronoberg County,6352
Norrbotten County,8839
Skåne County,51778
Stockholm County,96917
Södermanland County,11075
Unknown,149
Uppsala County,18270
Värmland County,8812
Västerbotten County,9234
Västernorrland County,8873
Västmanland County,8829
Västra Götaland County,60351
Örebro County,10486
Östergötland County,15590
