Location name,Amount spent (PKR)
Azad Kashmir,1041
Balochistan,3964
Federally Administered Tribal Areas,353
Gilgit-Baltistan,549
Islamabad Capital Territory,3107
Khyber Pakhtunkhwa,8562
Punjab,31144
Sindh,24136
Unknown,≤100
