Location name,Amount spent (PYG)
Alto Paraguay Department,57137
Alto Paraná Department,6213202
Amambay Department,1083376
Asunción,6740152
Boquerón department,327869
Caaguazú Department,2274855
Caazapá Department,697991
Canindeyú Department,675675
Central Department,17761132
Concepción Department (Paraguay),1067202
Cordillera Department,2439917
Guairá Department,1118070
Itapúa Department,2542271
Misiones Department,1136913
Paraguarí Department,794259
Presidente Hayes Department,719243
San Pedro Department,922004
Unknown,3760
Ñeembucú Department,592539
