Location name,Amount spent (SEK)
Blekinge County,3505
Dalarna County,7435
Gotland County,6294
Gävleborg County,7263
Halland County,7495
Jämtland County,4239
Jönköping County,8492
Kalmar County,5833
Kronoberg County,5257
Norrbotten County,6543
Skåne County,32151
Stockholm County,64580
Södermanland County,7782
Unknown,≤100
Uppsala County,10021
Värmland County,6271
Västerbotten County,6984
Västernorrland County,5620
Västmanland County,6426
Västra Götaland County,45121
Örebro County,7715
Östergötland County,10605
