Location name,Amount spent (SEK)
Blekinge County,2850
Dalarna County,5690
Gotland County,1458
Gävleborg County,5964
Halland County,6244
Jämtland County,2832
Jönköping County,6846
Kalmar County,4379
Kronoberg County,3387
Norrbotten County,6192
Skåne County,28962
Stockholm County,61886
Södermanland County,6010
Unknown,≤100
Uppsala County,8829
Värmland County,5172
Västerbotten County,5714
Västernorrland County,5495
Västmanland County,5556
Västra Götaland County,37142
Örebro County,5996
Östergötland County,9924
