Location name,Amount spent (ISK)
Capital Region,32130
Eastern Region,1435
Northeastern Region,4300
Northwestern Region,813
Southern Peninsula,3616
Southern Region,3615
Unknown,≤100
Western Region,788
Westfjords,766
