Location name,Amount spent (DKK)
Capital Region of Denmark,34261
Central Denmark Region,19346
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,8867
Region of Southern Denmark,17590
Unknown,≤100
Zealand Region,13611
