Location name,Amount spent (CZK)
Central Bohemian Region,13396
Hradec Králové Region,5321
Karlovy Vary Region,2896
Liberec Region,4229
Moravian-Silesian Region,11232
Olomouc Region,6215
Pardubice Region,4952
Plzeň Region,6326
Prague,29102
South Bohemian Region,5945
South Moravian Region,14081
Unknown,≤100
Vysočina Region,4248
Zlín Region,5381
Ústí nad Labem Region,9470
