Location name,Amount spent (PHP)
Autonomous Region in Muslim Mindanao,1157
Bicol Region,12592
Cagayan Valley,4278
Calabarzon,27945
Caraga,2343
Central Luzon,16735
Central Visayas,7590
Cordillera Administrative Region,2429
Davao Region,8372
Eastern Visayas,4178
Ilocos Region,8249
Metro Manila,64214
Mimaropa,3137
Northern Mindanao,8407
Soccsksargen,4342
Unknown,≤100
Western Visayas,11004
Zamboanga Peninsula,4043
