Location name,Amount spent (SEK)
Blekinge County,3814
Dalarna County,7736
Gotland County,1699
Gävleborg County,8018
Halland County,7941
Jämtland County,4021
Jönköping County,10447
Kalmar County,5844
Kronoberg County,5173
Norrbotten County,7261
Skåne County,37149
Stockholm County,68630
Södermanland County,7695
Unknown,≤100
Uppsala County,11776
Värmland County,7104
Västerbotten County,8158
Västernorrland County,7017
Västmanland County,7013
Västra Götaland County,48650
Örebro County,8033
Östergötland County,12466
