Page ID,Page name,Disclaimer,Amount spent (CHF),Number of ads in Library
112222891627032,Häsch #gwösst,Häsch #gwösst,≤100,6
709351105754847,FBP-Ortsgruppe Balzers,FBP-Ortsgruppe Balzers,≤100,14
386589190940,Vaterländische Union (VU),Vaterländische Union,≤100,3
1953982967998974,DpL - Demokraten Pro Liechtenstein,Demokraten pro Liechtenstein,≤100,5
596046163789199,FBP Vaduz,FBP Ortsgruppe Vaduz,≤100,9
344789435692532,FBP-Ortsgruppe Eschen-Nendeln,FBP-Ortsgruppe Eschen-Nendeln,≤100,6
553466211453035,VU Ortsgruppe Ruggell,Stiftung Vaterländische Union,≤100,1
581045078625669,Sweettatt Balm,These ads ran without a disclaimer,≤100,2
191193637612148,bitpiloten,These ads ran without a disclaimer,≤100,1
724693277719823,Drivepedia,These ads ran without a disclaimer,≤100,1
112564955077010,News,These ads ran without a disclaimer,≤100,1
461741233923788,CASA DE CAMBIO EUROPA,These ads ran without a disclaimer,≤100,4
113372645010244,RTL Grоup,These ads ran without a disclaimer,≤100,1
