Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
122344957784863,Amnistia Internacional Portugal,Amnistia Internacional Portugal,703,76
111079005616846,Danone PT,These ads ran without a disclaimer,208,1
347829038571812,Aldeias de Crianças SOS Portugal,Aldeias de Crianças SOS Portugal,198,30
197936253581591,Fundação Francisco Manuel dos Santos,Fundação Francisco Manuel dos Santos,190,21
123061614692,Nestlé,Nestlé,174,1
178362315106,European Parliament,European Parliament,≤100,18
833033333450772,BPI Solidariedade,Banco BPI,≤100,1
480077632487005,Daikin Portugal,Daikin Portugal S.A.,≤100,2
325947881481785,Mais Cofidis,Mais Cofidis,≤100,1
113309632023126,Sindicato Independente dos Médicos,Sindicato Independente dos Médicos,≤100,1
791765654278738,Ageas Seguros,These ads ran without a disclaimer,≤100,2
371345239733415,Lusitania Seguros,These ads ran without a disclaimer,≤100,2
257691594655867,Ben-u-ron Caff,These ads ran without a disclaimer,≤100,1
246126962250063,Grupo PPE no Parlamento Europeu,EPP Group in the European Parliament,≤100,4
112857423489214,Ajuda em Ação,Ajuda em Ação,≤100,4
1040873502644920,ZERO - Associação Sistema Terrestre Sustentável,ZERO - Associação Sistema Terrestre Sustentável,≤100,4
107898832590939,European Commission,European Commission,≤100,4
412322482264070,Nespresso,Nespresso,≤100,1
1844526489093407,Rede Elo Farma,These ads ran without a disclaimer,≤100,2
104707758085303,Roche,Roche,≤100,2
604331369992722,Deputados do PCP no PE,Sandra Maria De Brito Pereira,≤100,7
356204854568423,UBBO,These ads ran without a disclaimer,≤100,2
125947497418007,El Corte Inglés Portugal,These ads ran without a disclaimer,≤100,2
771876069610385,Central Pharma Group,Central Pharma Group,≤100,5
327764087275057,Dove,These ads ran without a disclaimer,≤100,1
823788047675556,Call of War,These ads ran without a disclaimer,≤100,2
481847405755917,Teva Portugal,Teva Portugal,≤100,2
102783325087924,Revolta dos Livros,Helder Coelho Dias,≤100,2
446477269116687,Nuno Casais Music,These ads ran without a disclaimer,≤100,1
110647840532680,Merge Mayor,These ads ran without a disclaimer,≤100,1
104143268322155,Governo dos Açores,Governo dos Açores,≤100,3
178925535502983,Matthew Fowler,These ads ran without a disclaimer,≤100,21
140912586097835,Izidoro,These ads ran without a disclaimer,≤100,1
270341236375115,Jeronymo,These ads ran without a disclaimer,≤100,2
129586383695,Município de Oeiras,Município de Oeiras,≤100,2
110920243943820,DECO Associação,DECO - Associação Portuguesa para a Defesa do Consumidor,≤100,1
116692295036049,ROX,These ads ran without a disclaimer,≤100,1
146427908881902,PS Moita,PS Moita,≤100,1
107252064043989,Luís Montenegro,Partido Social Democrata,≤100,3
1571730739515611,Plataforma Gaia com Norte,Pedro Cavadas,≤100,1
106973434490589,Rui Cristina,Jorge Cabaço,≤100,1
