Location name,Amount spent (ISK)
Capital Region,24945
Eastern Region,1094
Northeastern Region,2352
Northwestern Region,516
Southern Peninsula,2805
Southern Region,2877
Unknown,≤100
Western Region,666
Westfjords,441
