Location name,Amount spent (BRL)
Acre (state),881
Alagoas,2994
Amapá,1502
Amazonas,5838
Bahia,10771
Ceará,10160
Espírito Santo,3202
Federal District,4196
Goiás,8257
Maranhão,6458
Mato Grosso,5154
Mato Grosso do Sul,3313
Minas Gerais,23232
Paraná,10612
Paraíba,4074
Pará,9596
Pernambuco,13844
Piauí,3700
Rio Grande do Norte,3687
Rio Grande do Sul,10561
Rio de Janeiro (state),19039
Rondônia,2373
Roraima,1854
Santa Catarina,10299
Sergipe,2996
São Paulo (state),59042
Tocantins,3933
Unknown,≤100
