Location name,Amount spent (CHF)
Aargau,178
Appenzell Ausserrhoden,≤100
Appenzell Innerrhoden,≤100
Basel-City,116
Basel-Landschaft,≤100
Bern,306
Canton of Geneva,421
Canton of Glarus,≤100
Canton of Nidwalden,≤100
Canton of Obwalden,≤100
Canton of St. Gallen,111
Fribourg,120
Graubünden,≤100
Jura,≤100
Luzern,≤100
Neuchâtel,≤100
Schaffhausen,≤100
Schwyz,≤100
Solothurn,≤100
Thurgau,≤100
Ticino,130
Unknown,≤100
Uri,≤100
Valais,153
Vaud,299
Zug,≤100
Zürich,572
