Location name,Amount spent (MXN)
Aguascalientes,33199
Baja California,48195
Baja California Sur,11921
Campeche,40414
Chiapas,66488
Chihuahua,56141
Coahuila de Zaragoza,39813
Colima,14344
Distrito Federal,229356
Durango,13638
Guanajuato,81806
Guerrero,21807
Hidalgo,18624
Jalisco,152751
Michoacán de Ocampo,37800
Morelos,67103
Nayarit,10863
Nuevo León,268402
Oaxaca,27311
Puebla,68787
Querétaro Arteaga,120519
Quintana Roo,39706
San Luis Potosi,30791
Sinaloa,25402
Sonora,29163
State of Mexico,96084
Tabasco,17387
Tamaulipas,66118
Tlaxcala,6765
Unknown,≤100
Veracruz,44184
Yucatán,79389
Zacatecas,14456
