Location name,Amount spent (GTQ)
Alta Verapaz Department,399
Baja Verapaz Department,118
Chimaltenango Department,220
Chiquimula Department,233
El Progreso Department,133
Escuintla Department,412
Guatemala Department,6176
Huehuetenango Department,416
Izabal Department,357
Jalapa Department,156
Jutiapa Department,289
Petén Department,234
Quetzaltenango Department,474
Quiché Department,252
Retalhuleu Department,147
Sacatepéquez Department,219
San Marcos Department,835
Santa Rosa Department,178
Sololá Department,164
Suchitepéquez Department,224
Totonicapán Department,119
Unknown,≤100
Zacapa Department,188
