Location name,Amount spent (COP)
Amazonas,1606
Antioquia,8611353
Arauca,12912
Atlantico,521826
Bolivar,139063
Boyaca,572292
Caldas,363294
Caqueta,39074
Casanare,149410
Cauca,266218
Cesar,690867
Choco,16549
Cordoba,356397
Cundinamarca,1268697
Distrito Especial,6580258
Guainia,1100
Guaviare,7482
Huila,585453
La Guajira,45278
Magdalena,412840
Meta,329608
Narino,99283
Norte de Santander,442749
Putumayo,56528
Quindio,95777
Risaralda,1240269
San Andres y Providencia,5144
Santander,751837
Sucre,162806
Tolima,362543
Unknown,380
Valle del Cauca,2346395
Vaupes,453
Vichada,667
