Location name,Amount spent (USD)
Alabama,15754
Alaska,2884
American Samoa,≤100
Arizona,30778
Arkansas,9480
California,121641
Colorado,19016
Connecticut,9207
Delaware,4104
Florida,79287
Georgia,33440
Guam,≤100
Hawaii,3512
Idaho,6235
Illinois,40176
Indiana,22894
Iowa,13069
Kansas,12758
Kentucky,15333
Louisiana,19920
Maine,4046
Maryland,21354
Massachusetts,21847
Michigan,37656
Minnesota,21668
Mississippi,17000
Missouri,20032
Montana,5042
Nebraska,5668
Nevada,14291
New Hampshire,6800
New Jersey,37725
New Mexico,7433
New York,62895
North Carolina,40841
North Dakota,7093
Ohio,55188
Oklahoma,15575
Oregon,14518
Pennsylvania,48339
Puerto Rico,≤100
Rhode Island,3469
South Carolina,18801
South Dakota,2273
Tennessee,25499
Texas,114315
Unknown,112
Utah,10944
Vermont,1796
Virgin Islands (U.S.),≤100
Virginia,30793
Washington,23857
"Washington, District of Columbia",16199
West Virginia,7586
Wisconsin,20661
Wyoming,1893
