Location name,Amount spent (EUR)
Alsace,698
Aquitaine,1578
Auvergne,491
Basse-Normandie,497
Bourgogne,572
Bretagne,1364
Centre,901
Champagne-Ardenne,563
Corse,173
Franche-Comté,378
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,680
Languedoc-Roussillon,1386
Limousin,278
Lorraine,919
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1201
New Caledonia,≤100
Nord-Pas-de-Calais,1578
Pays de la Loire,1214
Picardie,749
Poitou-Charentes,711
Provence-Alpes-Côte d'Azur,2607
Reunion Island,≤100
Rhône-Alpes,3022
Saint Pierre and Miquelon,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,4672
