Location name,Amount spent (MYR)
Johor,356
Kedah,207
Kelantan,155
Kuala Lumpur,438
Labuan,≤100
Malacca,101
Negeri Sembilan,130
Pahang,257
Penang,110
Perak,209
Perlis,≤100
Putrajaya,≤100
Sabah,278
Sarawak,237
Selangor,693
Terengganu,124
