Location name,Amount spent (MXN)
Aguascalientes,10530
Baja California,29928
Baja California Sur,3917
Campeche,23678
Chiapas,16705
Chihuahua,20627
Coahuila de Zaragoza,160316
Colima,4805
Distrito Federal,188412
Durango,17435
Guanajuato,33158
Guerrero,10386
Hidalgo,12310
Jalisco,114321
Michoacán de Ocampo,37650
Morelos,27823
Nayarit,15766
Nuevo León,71933
Oaxaca,12192
Puebla,35221
Querétaro Arteaga,18272
Quintana Roo,37228
San Luis Potosi,18182
Sinaloa,9197
Sonora,18959
State of Mexico,200514
Tabasco,7961
Tamaulipas,20679
Tlaxcala,5073
Unknown,143
Veracruz,36305
Yucatán,25366
Zacatecas,6307
