Location name,Amount spent (MXN)
Aguascalientes,7320
Baja California,23127
Baja California Sur,2138
Campeche,5922
Chiapas,12083
Chihuahua,17125
Coahuila de Zaragoza,54986
Colima,5432
Distrito Federal,76108
Durango,4678
Guanajuato,34483
Guerrero,7652
Hidalgo,8161
Jalisco,35239
Michoacán de Ocampo,24715
Morelos,17713
Nayarit,6734
Nuevo León,120327
Oaxaca,8538
Puebla,16361
Querétaro Arteaga,12080
Quintana Roo,31383
San Luis Potosi,19476
Sinaloa,6589
Sonora,10057
State of Mexico,86124
Tabasco,7292
Tamaulipas,12822
Tlaxcala,4265
Unknown,≤100
Veracruz,21340
Yucatán,18784
Zacatecas,3983
