Location name,Amount spent (CZK)
Central Bohemian Region,19088
Hradec Králové Region,8372
Karlovy Vary Region,4406
Liberec Region,7315
Moravian-Silesian Region,18480
Olomouc Region,9755
Pardubice Region,7949
Plzeň Region,9271
Prague,34748
South Bohemian Region,11624
South Moravian Region,21368
Unknown,≤100
Vysočina Region,7206
Zlín Region,9470
Ústí nad Labem Region,13971
