Location name,Amount spent (JPY)
Aichi Prefecture,54579
Akita Prefecture,1656
Aomori Prefecture,2203
Chiba Prefecture,25370
Ehime Prefecture,3379
Fukui Prefecture,1693
Fukuoka Prefecture,53729
Fukushima Prefecture,3589
Gifu Prefecture,4036
Gunma Prefecture,3943
Hiroshima Prefecture,6968
Hokkaido,13555
Hyōgo Prefecture,17377
Ibaraki Prefecture,6716
Ishikawa Prefecture,2978
Iwate Prefecture,2409
Kagawa Prefecture,2749
Kagoshima Prefecture,2860
Kanagawa Prefecture,48695
Kumamoto Prefecture,4968
Kyoto Prefecture,16458
Kōchi Prefecture,1654
Mie Prefecture,4231
Miyagi Prefecture,12105
Miyazaki Prefecture,4249
Nagano Prefecture,6062
Nagasaki Prefecture,4374
Nara Prefecture,3589
Niigata Prefecture,3822
Okayama Prefecture,4988
Okinawa Prefecture,6524
Osaka Prefecture,29446
Saga Prefecture,3267
Saitama Prefecture,20662
Shiga Prefecture,3714
Shimane Prefecture,1300
Shizuoka Prefecture,10782
Tochigi Prefecture,4060
Tokushima Prefecture,1328
Tokyo,103192
Tottori Prefecture,1061
Toyama Prefecture,1975
Wakayama Prefecture,1965
Yamagata Prefecture,2077
Yamaguchi Prefecture,2704
Yamanashi Prefecture,2082
Ōita Prefecture,5357
