Location name,Amount spent (PHP)
Autonomous Region in Muslim Mindanao,1916
Bicol Region,10059
Cagayan Valley,3514
Calabarzon,18625
Caraga,1970
Central Luzon,12340
Central Visayas,9644
Cordillera Administrative Region,1206
Davao Region,6709
Eastern Visayas,4733
Ilocos Region,4852
Metro Manila,37159
Mimaropa,2672
Northern Mindanao,5017
Soccsksargen,3715
Unknown,≤100
Western Visayas,9410
Zamboanga Peninsula,2975
