Location name,Amount spent (PLN)
Greater Poland Voivodeship,3452
Kuyavian-Pomeranian Voivodeship,2526
Lesser Poland Voivodeship,3681
Lower Silesian Voivodeship,3312
Lublin Voivodeship,2030
Lubusz Voivodeship,765
Masovian Voivodeship,7645
Opole Voivodeship,879
Podkarpackie Voivodeship,1433
Podlaskie Voivodeship,825
Pomeranian Voivodeship,7111
Silesian Voivodeship,10002
Unknown,≤100
Warmian-Masurian Voivodeship,1155
West Pomeranian Voivodeship,1779
Łódź Voivodeship,2239
Świętokrzyskie Voivodeship,938
