Location name,Amount spent (HUF)
Baranya County,67860
Borsod-Abaúj-Zemplén County,99180
Budapest,444834
Bács-Kiskun County,91723
Békés County,58056
Csongrád County,90750
Fejér County,69349
Győr-Moson-Sopron County,71580
Hajdú-Bihar County,101327
Heves County,63190
Jász-Nagykun-Szolnok County,61462
Komárom-Esztergom County,58159
Nógrád County,36573
Pest County,178124
Somogy County,51589
Szabolcs-Szatmár-Bereg County,69034
Tolna County,36155
Unknown,≤100
Vas County,43118
Veszprém County,56804
Zala County,46997
